Metric: Minkowski
Function type: Hyperbolic Tan
p0: 0.080000
r0: 20.000000
d: 3.000000
q: 2.000000
R step size: 0.001000
Maximum R: 50
Iterations: 100000
Number of threads: 12
Total simulation time: 471
0.000100,0.500000,1.000000,1.500000,2.000000,2.500000,3.000000,3.500000,4.000000,4.500000,5.000000,5.500000,6.000000,6.500000,7.000000,7.500000,8.000000,8.500000,9.000000,9.500000,10.000000,10.500000,11.000000,11.500000,12.000000,12.500000,13.000000,13.500000,14.000000,14.500000,15.000000,15.500000,16.000000,16.500000,17.000000,17.500000,18.000000,18.500000,19.000000,19.500000,20.000000,20.500000,21.000000,21.500000,22.000000,22.500000,23.000000,23.500000,24.000000,24.500000,25.000000,25.500000,26.000000,26.500000,27.000000,27.500000,28.000000,28.500000,29.000000,29.500000,30.000000,30.500000,31.000000,31.500000,32.000000,32.500000,33.000000,33.500000,34.000000,34.500000,35.000000,35.500000,36.000000,36.500000,37.000000,37.500000,38.000000,38.500000,39.000000,39.500000,40.000000,40.500000,41.000000,41.500000,42.000000,42.500000,43.000000,43.500000,44.000000,44.500000,45.000000,45.500000,46.000000,46.500000,47.000000,47.500000,48.000000,48.500000,49.000000,49.500000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079962,-0.079946,-0.079925,-0.079896,-0.079854,-0.079797,-0.079716,-0.079604,-0.079448,-0.079231,-0.078929,-0.078509,-0.077927,-0.077122,-0.076012,-0.074489,-0.072412,-0.069605,-0.065856,-0.060928,-0.054581,-0.046623,-0.036969,-0.025721,-0.013211,0.000000,0.013211,0.025721,0.036969,0.046623,0.054581,0.060928,0.065856,0.069605,0.072412,0.074489,0.076012,0.077122,0.077927,0.078509,0.078929,0.079231,0.079448,0.079604,0.079716,0.079797,0.079854,0.079896,0.079925,0.079946,0.079962,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079962,-0.079946,-0.079925,-0.079896,-0.079854,-0.079797,-0.079716,-0.079604,-0.079448,-0.079231,-0.078929,-0.078509,-0.077927,-0.077122,-0.076012,-0.074488,-0.072411,-0.069604,-0.065855,-0.060926,-0.054579,-0.046621,-0.036968,-0.025719,-0.013210,0.000001,0.013211,0.025721,0.036969,0.046622,0.054580,0.060926,0.065855,0.069604,0.072411,0.074488,0.076012,0.077122,0.077927,0.078509,0.078929,0.079231,0.079448,0.079604,0.079716,0.079797,0.079854,0.079896,0.079925,0.079946,0.079962,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079962,-0.079946,-0.079925,-0.079895,-0.079854,-0.079797,-0.079716,-0.079604,-0.079448,-0.079231,-0.078929,-0.078509,-0.077927,-0.077121,-0.076010,-0.074487,-0.072409,-0.069601,-0.065851,-0.060922,-0.054574,-0.046615,-0.036962,-0.025715,-0.013206,0.000003,0.013211,0.025719,0.036966,0.046618,0.054576,0.060923,0.065852,0.069602,0.072409,0.074487,0.076011,0.077121,0.077926,0.078509,0.078929,0.079231,0.079448,0.079604,0.079716,0.079797,0.079854,0.079895,0.079925,0.079946,0.079962,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079962,-0.079946,-0.079925,-0.079895,-0.079854,-0.079796,-0.079716,-0.079604,-0.079448,-0.079230,-0.078928,-0.078508,-0.077925,-0.077120,-0.076008,-0.074484,-0.072406,-0.069597,-0.065846,-0.060915,-0.054566,-0.046607,-0.036953,-0.025707,-0.013200,0.000006,0.013212,0.025717,0.036962,0.046613,0.054571,0.060918,0.065847,0.069598,0.072406,0.074484,0.076009,0.077119,0.077925,0.078508,0.078928,0.079230,0.079448,0.079604,0.079716,0.079796,0.079854,0.079895,0.079925,0.079946,0.079961,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079961,-0.079946,-0.079925,-0.079895,-0.079854,-0.079796,-0.079716,-0.079604,-0.079447,-0.079230,-0.078927,-0.078507,-0.077924,-0.077117,-0.076006,-0.074480,-0.072401,-0.069590,-0.065838,-0.060905,-0.054555,-0.046594,-0.036941,-0.025695,-0.013192,0.000011,0.013212,0.025713,0.036955,0.046605,0.054563,0.060910,0.065841,0.069592,0.072401,0.074481,0.076006,0.077117,0.077924,0.078507,0.078927,0.079230,0.079447,0.079604,0.079716,0.079796,0.079854,0.079895,0.079925,0.079946,0.079961,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079961,-0.079946,-0.079925,-0.079895,-0.079854,-0.079796,-0.079716,-0.079603,-0.079447,-0.079229,-0.078926,-0.078505,-0.077922,-0.077115,-0.076002,-0.074475,-0.072394,-0.069582,-0.065827,-0.060892,-0.054540,-0.046578,-0.036925,-0.025681,-0.013181,0.000016,0.013213,0.025709,0.036948,0.046595,0.054552,0.060900,0.065832,0.069585,0.072396,0.074476,0.076002,0.077115,0.077922,0.078505,0.078926,0.079229,0.079447,0.079603,0.079715,0.079796,0.079854,0.079895,0.079925,0.079946,0.079961,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079961,-0.079946,-0.079925,-0.079895,-0.079854,-0.079796,-0.079715,-0.079603,-0.079446,-0.079228,-0.078925,-0.078504,-0.077920,-0.077112,-0.075998,-0.074469,-0.072386,-0.069572,-0.065814,-0.060877,-0.054522,-0.046558,-0.036905,-0.025663,-0.013168,0.000024,0.013213,0.025704,0.036938,0.046584,0.054540,0.060889,0.065822,0.069576,0.072388,0.074470,0.075998,0.077111,0.077919,0.078503,0.078925,0.079228,0.079446,0.079603,0.079715,0.079796,0.079853,0.079895,0.079925,0.079946,0.079961,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079961,-0.079946,-0.079925,-0.079895,-0.079853,-0.079795,-0.079715,-0.079602,-0.079445,-0.079227,-0.078923,-0.078502,-0.077917,-0.077108,-0.075992,-0.074463,-0.072377,-0.069560,-0.065799,-0.060859,-0.054501,-0.046535,-0.036882,-0.025643,-0.013152,0.000032,0.013214,0.025698,0.036927,0.046569,0.054525,0.060875,0.065809,0.069566,0.072380,0.074464,0.075993,0.077107,0.077916,0.078501,0.078923,0.079227,0.079445,0.079602,0.079714,0.079795,0.079853,0.079895,0.079925,0.079946,0.079961,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
-0.080000,-0.080000,-0.079999,-0.079999,-0.079999,-0.079999,-0.079998,-0.079997,-0.079996,-0.079995,-0.079993,-0.079990,-0.079986,-0.079980,-0.079972,-0.079961,-0.079946,-0.079925,-0.079895,-0.079853,-0.079795,-0.079714,-0.079602,-0.079444,-0.079226,-0.078922,-0.078499,-0.077913,-0.077103,-0.075986,-0.074454,-0.072367,-0.069546,-0.065782,-0.060838,-0.054476,-0.046508,-0.036855,-0.025619,-0.013134,0.000042,0.013215,0.025690,0.036914,0.046553,0.054508,0.060858,0.065795,0.069554,0.072370,0.074456,0.075987,0.077103,0.077913,0.078498,0.078921,0.079225,0.079444,0.079601,0.079714,0.079795,0.079853,0.079895,0.079924,0.079946,0.079961,0.079972,0.079980,0.079986,0.079990,0.079993,0.079995,0.079996,0.079997,0.079998,0.079999,0.079999,0.079999,0.079999,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
